,id,from,at,to,open,close,min,max,volume
2021-07-27 17:50:00,1338994.0,1627408200.0,1.6274082600011313e+18,1627408260.0,1.26881,1.26889,1.2688,1.26889,35.0
2021-07-27 17:51:00,1338995.0,1627408260.0,1.6274083200002532e+18,1627408320.0,1.26889,1.26886,1.26881,1.26892,54.0
2021-07-27 17:52:00,1338996.0,1627408320.0,1.62740838000351e+18,1627408380.0,1.26887,1.26893,1.26887,1.26895,47.0
2021-07-27 17:53:00,1338997.0,1627408380.0,1.6274084400000494e+18,1627408440.0,1.26892,1.26892,1.26889,1.26898,47.0
2021-07-27 17:54:00,1338998.0,1627408440.0,1.6274085000007964e+18,1627408500.0,1.26893,1.26893,1.26889,1.26894,22.0
2021-07-27 17:55:00,1338999.0,1627408500.0,1.6274085600000033e+18,1627408560.0,1.26893,1.26903,1.26893,1.26905,45.0
2021-07-27 17:56:00,1339000.0,1627408560.0,1.6274086200001009e+18,1627408620.0,1.26905,1.26903,1.26901,1.2691,62.0
2021-07-27 17:57:00,1339001.0,1627408620.0,1.6274086800024553e+18,1627408680.0,1.26904,1.26905,1.26903,1.26911,41.0
2021-07-27 17:58:00,1339002.0,1627408680.0,1.6274087400074363e+18,1627408740.0,1.26906,1.269,1.26899,1.26909,54.0
2021-07-27 17:59:00,1339003.0,1627408740.0,1.6274088000000845e+18,1627408800.0,1.26899,1.26889,1.26885,1.26901,65.0
2021-07-27 18:00:00,1339004.0,1627408800.0,1.6274088600000796e+18,1627408860.0,1.2689,1.26877,1.26868,1.26901,108.0
2021-07-27 18:01:00,1339005.0,1627408860.0,1.6274089200072658e+18,1627408920.0,1.26877,1.26881,1.26874,1.26887,58.0
2021-07-27 18:02:00,1339006.0,1627408920.0,1.6274089800079724e+18,1627408980.0,1.26881,1.26883,1.26881,1.26889,47.0
2021-07-27 18:03:00,1339007.0,1627408980.0,1.6274090400003707e+18,1627409040.0,1.26884,1.26883,1.26881,1.26886,26.0
2021-07-27 18:04:00,1339008.0,1627409040.0,1.62740910000036e+18,1627409100.0,1.26883,1.26885,1.26882,1.26886,35.0
2021-07-27 18:05:00,1339009.0,1627409100.0,1.627409160000108e+18,1627409160.0,1.26885,1.26889,1.26885,1.26891,14.0
2021-07-27 18:06:00,1339010.0,1627409160.0,1.6274092200006152e+18,1627409220.0,1.26891,1.26882,1.26881,1.26891,41.0
2021-07-27 18:07:00,1339011.0,1627409220.0,1.627409280004604e+18,1627409280.0,1.26882,1.26891,1.26881,1.26893,27.0
2021-07-27 18:08:00,1339012.0,1627409280.0,1.6274093400127516e+18,1627409340.0,1.26891,1.26891,1.26889,1.26893,16.0
2021-07-27 18:09:00,1339013.0,1627409340.0,1.627409400003039e+18,1627409400.0,1.26891,1.26901,1.26891,1.26902,54.0
2021-07-27 18:10:00,1339014.0,1627409400.0,1.627409460001485e+18,1627409460.0,1.26902,1.26901,1.26899,1.2691,40.0
2021-07-27 18:11:00,1339015.0,1627409460.0,1.627409520008264e+18,1627409520.0,1.26901,1.26904,1.26899,1.26905,49.0
2021-07-27 18:12:00,1339016.0,1627409520.0,1.627409580003001e+18,1627409580.0,1.26905,1.26907,1.269,1.26909,36.0
2021-07-27 18:13:00,1339017.0,1627409580.0,1.6274096400143875e+18,1627409640.0,1.26907,1.2692,1.26907,1.26921,32.0
2021-07-27 18:14:00,1339018.0,1627409640.0,1.6274097000061688e+18,1627409700.0,1.2692,1.26915,1.26911,1.26922,54.0
2021-07-27 18:15:00,1339019.0,1627409700.0,1.627409760005736e+18,1627409760.0,1.26914,1.26929,1.26913,1.26935,61.0
2021-07-27 18:16:00,1339020.0,1627409760.0,1.6274098200010975e+18,1627409820.0,1.26931,1.26938,1.2693,1.26941,51.0
2021-07-27 18:17:00,1339021.0,1627409820.0,1.6274098800008988e+18,1627409880.0,1.26937,1.26935,1.26935,1.26951,80.0
2021-07-27 18:18:00,1339022.0,1627409880.0,1.6274099400012186e+18,1627409940.0,1.26934,1.26935,1.2693,1.26938,50.0
2021-07-27 18:19:00,1339023.0,1627409940.0,1.6274100000018076e+18,1627410000.0,1.26935,1.26939,1.26929,1.26941,34.0
